ExtendedID,SubjectTag_S1,SubjectTag_S2,SubjectID_S1,SubjectID_S2,RelationshipPath,EverSharedHouse,R,RFull,MultipleBirthIfSameSex,IsMz,LastSurvey_S1,LastSurvey_S2,RImplicitPass1,RImplicit,RExplicit,RExplicitPass1,RPass1,RExplicitOlderSibVersion,RExplicitYoungerSibVersion,RImplicitSubject,RImplicitMother
2,200,201,2,201,4,TRUE,0.5,0.5,0,0,2014,2004,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
2,200,202,2,202,4,TRUE,0.5,0.5,0,0,2014,2004,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
2,201,202,201,202,2,TRUE,0.5,0.5,0,0,2004,2004,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,300,301,3,301,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,300,302,3,302,4,TRUE,0.5,0.5,0,0,2014,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,300,303,3,303,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,300,400,3,4,1,TRUE,0.5,0.5,0,0,2014,1998,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
3,300,401,3,401,5,FALSE,0.25,0.25,0,0,2014,1998,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
3,300,403,3,403,5,FALSE,0.25,0.25,0,0,2014,NA,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
3,301,302,301,302,2,TRUE,0.5,0.5,0,0,2014,2010,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,301,303,301,303,2,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,301,400,301,4,5,FALSE,0.25,0.25,0,0,2014,1998,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
3,301,401,301,401,3,FALSE,0.125,0.125,0,0,2014,1998,NA,0.125,NA,NA,0.125,NA,NA,NA,NA
3,301,403,301,403,3,FALSE,0.125,0.125,0,0,2014,NA,NA,0.125,NA,NA,0.125,NA,NA,NA,NA
3,302,303,302,303,2,TRUE,0.5,0.5,0,0,2010,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,302,400,302,4,5,FALSE,0.25,0.25,0,0,2010,1998,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
3,302,401,302,401,3,FALSE,0.125,0.125,0,0,2010,1998,NA,0.125,NA,NA,0.125,NA,NA,NA,NA
3,302,403,302,403,3,FALSE,0.125,0.125,0,0,2010,NA,NA,0.125,NA,NA,0.125,NA,NA,NA,NA
3,303,400,303,4,5,FALSE,0.25,0.25,0,0,2014,1998,NA,0.25,NA,NA,0.25,NA,NA,NA,NA
3,303,401,303,401,3,FALSE,0.125,0.125,0,0,2014,1998,NA,0.125,NA,NA,0.125,NA,NA,NA,NA
3,303,403,303,403,3,FALSE,0.125,0.125,0,0,2014,NA,NA,0.125,NA,NA,0.125,NA,NA,NA,NA
3,400,401,4,401,4,TRUE,0.5,0.5,0,0,1998,1998,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,400,403,4,403,4,TRUE,0.5,0.5,0,0,1998,NA,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
3,401,403,401,403,2,TRUE,0.25,0.25,0,0,1998,NA,NA,0.25,NA,NA,NA,NA,NA,NA,0.25
5,500,600,5,6,1,TRUE,0.5,0.5,0,0,1989,2014,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
8,800,801,8,801,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
8,800,802,8,802,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
8,800,803,8,803,4,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
8,801,802,801,802,2,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
8,801,803,801,803,2,TRUE,0.5,0.5,0,0,2014,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
8,802,803,802,803,2,TRUE,0.5,0.5,0,0,2012,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
10,1000,1001,10,1001,4,TRUE,0.5,0.5,0,0,1994,2012,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
10,1000,1002,10,1002,4,TRUE,0.5,0.5,0,0,1994,1994,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
10,1001,1002,1001,1002,2,TRUE,0.5,0.5,0,0,2012,1994,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
12,1200,1201,12,1201,4,TRUE,0.5,0.5,0,0,1994,1994,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
12,1200,1202,12,1202,4,TRUE,0.5,0.5,0,0,1994,1994,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
12,1201,1202,1201,1202,2,TRUE,0.5,0.5,0,0,1994,1994,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
13,1300,1400,13,14,1,TRUE,0.5,0.5,0,0,2006,2014,NA,0.5,NA,NA,0.5,NA,NA,NA,NA
16,1600,1601,16,1601,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
16,1600,1602,16,1602,4,TRUE,0.5,0.5,0,0,2014,2014,0.5,0.5,NA,NA,0.5,NA,NA,0.5,0.5
