ID,Label,Explicit,Active,Notes
1,Roster                                  ,1,TRUE,
2,ShareBiomom                             ,1,TRUE,
3,ShareBiodad                             ,1,TRUE,
5,DobSeparation                           ,0,FALSE,
6,GenderAgreement                         ,0,FALSE,
10,FatherAsthma                            ,0,FALSE,
11,BabyDaddyAsthma                         ,0,FALSE,
12,BabyDaddyLeftHHDate                     ,0,FALSE,
13,BabyDaddyDeathDate                      ,0,FALSE,
14,BabyDaddyAlive                          ,0,FALSE,
15,BabyDaddyInHH                           ,0,FALSE,
16,BabyDaddyDistanceFromHH                 ,0,FALSE,
17,Gen2CFatherAlive                        ,0,FALSE,
18,Gen2CFatherInHH                         ,0,FALSE,
19,Gen2CFatherDistanceFromHH               ,0,FALSE,
30,Gen1BiodadInHH                          ,0,FALSE,
31,Gen1BiodadDeathAge                      ,0,FALSE,
32,Gen1BiodadBirthYear                     ,0,FALSE,
33,Gen1BiodadInHH1979                      ,0,FALSE,
34,Gen1BiodadBirthCountry                  ,0,FALSE,
35,Gen1BiodadBirthState                    ,0,FALSE,
40,Gen1BiomomInHH                          ,0,FALSE,
41,Gen1BiomomDeathAge                      ,0,FALSE,
42,Gen1BiomomBirthYear                     ,0,FALSE,
43,Gen1BiomomInHH1979                      ,0,FALSE,
44,Gen1BiomomBirthCountry                  ,0,FALSE,
45,Gen1BiomomBirthState                    ,0,FALSE,
50,Gen1AlwaysLivedWithBothBioparents       ,0,FALSE,
