ID,SubjectTag_S1,SubjectTag_S2,MultipleBirthIfSameSex,IsMz,Undecided,Related,Notes
1,66,67,2,255,1,,
2,75,76,2,255,1,,
3,116,117,2,255,1,,
4,222,223,2,255,1,,
5,343,344,3,255,1,,
6,343,345,3,255,1,,
7,344,345,3,255,1,,
8,351,352,2,255,1,,
9,447,448,2,255,1,,
10,588,589,2,255,1,,
11,632,633,2,255,1,,
12,743,744,2,255,1,,
13,1187,1188,2,255,1,,
14,1278,1279,2,255,1,,
15,1391,1392,2,255,1,,
16,1414,1416,2,255,1,,
17,1419,1420,2,255,1,,
18,1512,1513,2,255,1,,
19,1610,1611,2,255,1,,
20,1690,1691,2,255,1,,
21,1737,1738,2,255,1,,
22,1742,1743,2,255,1,,
23,1815,1816,2,255,1,,
24,1821,1822,2,255,1,,
25,1960,1961,2,255,1,,
26,2015,2016,2,255,1,,
27,2229,2230,2,255,1,,
28,2239,2240,2,255,1,,
29,2298,2299,2,255,1,,
30,2399,2400,3,255,1,,
31,2399,2401,3,255,1,,
32,2400,2401,3,255,1,,
33,2483,2484,2,255,1,,
34,2535,2536,2,255,1,,
35,2549,2550,2,255,1,,
36,2629,2630,2,255,1,,
37,2682,2683,2,255,1,,
38,2742,2743,2,255,1,,
39,2836,2837,2,255,1,,
40,2912,2913,2,255,1,,
41,3457,3458,2,255,1,,
42,3651,3652,2,255,1,,
43,4241,4242,2,255,1,,
44,4284,4285,2,255,1,,
45,4393,4394,2,255,1,,
46,4698,4699,2,255,1,,
47,4821,4822,2,255,1,,
48,4967,4968,2,255,1,,
49,5044,5045,2,255,1,,
50,5096,5097,2,255,1,,
51,5303,5304,2,255,1,,
52,5517,5518,2,255,1,,
53,5552,5553,2,255,1,,
54,5685,5686,2,255,1,,
55,5849,5850,2,255,1,,
56,5854,5855,2,255,1,,
57,5945,5946,2,255,1,,
58,5973,5974,2,255,1,,
59,6086,6087,2,255,1,,
60,6169,6170,2,255,1,,
61,6197,6198,2,255,1,,
62,6243,6244,2,255,1,,
63,6312,6313,2,255,1,,
64,6482,6483,2,255,1,,
65,6655,6656,2,255,1,,
66,6742,6743,2,255,1,,
67,6846,6847,2,255,1,,
68,6884,6885,2,255,1,,
69,6974,6975,2,255,1,,
70,7067,7068,2,255,1,,
71,7247,7248,2,255,1,,
72,7250,7251,2,255,1,,
73,7397,7398,2,255,1,,
74,7530,7531,2,255,1,,
75,7629,7630,2,255,1,,
76,7895,7896,2,255,1,,
77,7929,7930,2,255,1,,
78,7993,7994,2,255,1,,
79,7997,7998,2,255,1,,
80,8152,8153,2,255,1,,
81,5312,8313,2,255,1,,
82,8335,8336,2,255,1,,
83,8545,8546,2,255,1,,
84,8645,8646,2,255,1,,
85,8663,8664,2,255,1,,
86,8770,8771,2,255,1,,
87,8792,8793,2,255,1,,
88,8813,8814,2,255,1,,
89,8841,8842,2,255,1,,
90,8968,8969,2,255,1,,
