table_name,schema_name,enum_name,enum_file,c_sharp_type,convert_to_enum,shallow
ArchiveDescription,Archive,NA_character,NA_character,NA_character,FALSE,TRUE
item,Metadata,Item,EnumLookupTables.cs,short,TRUE,FALSE
LUExtractSource,Enum,ExtractSource,EnumLookupTables.cs,byte,TRUE,FALSE
LUGender,Enum,Gender,EnumLookupTables.cs,byte,TRUE,FALSE
LUMarkerEvidence,Enum,MarkerEvidence,EnumLookupTables.cs,byte,TRUE,FALSE
LUMarkerType,Enum,MarkerType,EnumLookupTables.cs,byte,TRUE,FALSE
LUMultipleBirth,Enum,MultipleBirth,EnumLookupTables.cs,byte,TRUE,FALSE
LURaceCohort,Enum,RaceCohort,EnumLookupTables.cs,byte,TRUE,FALSE
LURoster,Enum,RosterGen1,EnumResponseGen1.cs,short,TRUE,FALSE
LUTristate,Enum,Tristate,EnumLookupTables.cs,byte,TRUE,FALSE
LUYesNo,Enum,YesNo,EnumLookupTables.cs,short,TRUE,FALSE
MzManual,Metadata,NA_character,NA_character,NA_character,FALSE,TRUE
RosterAssignment,Metadata,NA_character,NA_character,NA_character,FALSE,FALSE
variable,Metadata,NA_character,NA_character,NA_character,FALSE,FALSE
