"ID","SubjectTag_S1","SubjectTag_S2","Generation","MultipleBirthIfSameSex","IsMz","Undecided","Related","Notes"
1,5003,5004,2,2,0,0,1,"Very Consistent"
3,14303,14304,2,2,0,0,1,"Different Gender"
5,15904,15905,2,2,0,0,1,NA
6,28805,28806,2,2,0,0,1,"Different Gender"
8,36504,36505,2,2,1,0,1,"Twice DZ then once MZ"
9,67703,67704,2,2,0,0,1,"1994-2008"
10,73301,73302,2,2,1,0,1,"Mostly consistent 1994-2008"
12,74301,74302,2,2,0,0,1,"Different Gender"
13,77502,77503,2,2,1,0,1,"1994-2006"
14,93001,93002,2,2,1,0,1,"1994-2000"
15,104902,104903,2,2,0,0,1,"2000-2008"
16,121005,121006,2,2,1,0,1,"1994-2008"
17,125403,125404,2,2,0,0,1,"1994-1998"
18,146001,146002,2,2,255,1,1,"Last mother response was 1993"
19,159605,159606,2,2,0,0,1,"1994-2008"
20,167101,167102,2,2,0,0,1,"Different Gender"
21,188601,188602,2,2,0,0,1,"1994-2002"
22,190503,190504,2,2,1,0,1,"2000-2008"
23,190602,190603,2,3,0,0,1,"Different Gender"
24,190602,190604,2,3,0,0,1,"Different Gender"
25,190603,190604,2,3,0,0,1,"Mom reports trips are DZ 2002-2008"
26,193701,193702,2,2,0,0,1,"Different Gender"
27,201202,201203,2,2,1,0,1,"1994-2008"
28,207102,207103,2,2,0,0,1,"Different Gender"
29,215302,215303,2,2,0,0,1,"1994-2008"
30,217403,217404,2,2,0,0,1,"1998-2008"
31,229902,229903,2,2,1,0,1,"1994-2006"
32,233901,233902,2,2,0,0,1,"Mostly consistent 1996-2006"
33,244402,244403,2,2,0,0,1,"1994-2008"
34,272301,272302,2,2,0,0,1,"Different Gender"
35,277002,277003,2,2,0,0,1,"Different Gender"
36,279001,279002,2,2,0,0,1,"Different Gender"
37,288601,288602,2,2,0,0,1,"1994-2008"
38,315001,315002,2,2,0,0,1,"Different Gender"
39,315101,315102,2,2,1,0,1,"1994-2008"
40,338701,338702,2,2,0,0,1,"Different Gender"
41,342301,342302,2,2,0,0,1,"1994-2008"
42,342901,342902,2,2,1,0,1,"1994-2004"
43,345802,345803,2,2,0,0,1,"1994-2008"
44,350602,350603,2,2,0,0,1,"1994-2006"
45,352702,352703,2,2,0,0,1,"Different Gender"
46,354405,354406,2,2,0,0,1,"Different Gender (Watch out, mom had two sets of DZ twins)"
47,354407,354408,2,2,0,0,1,"1994-2006 (Watch out, mom had two sets of DZ twins)"
48,360501,360502,2,2,0,0,1,"Different Gender"
49,365401,365402,2,2,0,0,1,"1994-2008"
50,368801,368802,2,2,1,0,1,"Response on in 1998"
51,372904,372905,2,2,0,0,1,"Different Gender"
52,378702,378703,2,2,0,0,1,"1998-2008"
53,392401,392402,2,2,1,0,1,"MZ 2000-2004; DZ 1998"
54,393101,393102,2,2,0,0,1,"1994-2008 (Watch out, mom had two sets of DZ twins)"
55,393103,393104,2,2,0,0,1,"Different Gender (Watch out, mom had two sets of DZ twins)"
56,407401,407402,2,3,0,0,1,"Mostly DZ 1994-2008"
57,407401,407403,2,3,0,0,1,"Different Gender"
58,407402,407403,2,3,0,0,1,"Different Gender"
59,448306,448307,2,2,1,0,1,"1994-2008"
60,468302,468303,2,2,0,0,1,"Different Gender"
61,473402,473403,2,2,0,0,1,"1994-2008"
62,484202,484203,2,2,0,0,1,"1994-2008"
63,487103,487104,2,2,1,0,1,"1998-2008"
