table_name,schema_name,enum_name,enum_file,c_sharp_type,convert_to_enum
Item,Metadata,Item,EnumLookupTables.cs,short,TRUE
LUExtractSource,Enum,ExtractSource,EnumLookupTables.cs,byte,TRUE
LUGender,Enum,Gender,EnumLookupTables.cs,byte,TRUE
LUMarkerEvidence,Enum,MarkerEvidence,EnumLookupTables.cs,byte,TRUE
LUMarkerType,Enum,MarkerType,EnumLookupTables.cs,byte,TRUE
LUMultipleBirth,Enum,MultipleBirth,EnumLookupTables.cs,byte,TRUE
LURaceCohort,Enum,RaceCohort,EnumLookupTables.cs,byte,TRUE
LURelationshipPath,Enum,RelationshipPath,EnumLookupTables.cs,byte,TRUE
LUSurveySource,Enum,SurveySource,EnumLookupTables.cs,byte,TRUE
LUTristate,Enum,Tristate,EnumLookupTables.cs,byte,TRUE
LUYesNo,Enum,YesNo,EnumLookupTables.cs,short,TRUE
MzManual,Metadata,NA_character,NA_character,NA_character,FALSE
Variable,Metadata,NA_character,NA_character,NA_character,FALSE
